Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2022-03-21,"1,929.50","1,922.40","1,941.80","1,917.20",146.41K,0.01%,287.467
2022-03-18,"1,929.30","1,943.90","1,946.20","1,918.00",150.88K,-0.72%,287.467
2022-03-17,"1,943.20","1,928.40","1,951.00","1,924.00",149.83K,1.78%,287.467
2022-03-16,"1,909.20","1,920.10","1,930.10","1,895.20",195.46K,-1.06%,287.467
2022-03-15,"1,929.70","1,953.70","1,956.90","1,908.10",220.37K,-1.59%,287.467
2022-03-14,"1,960.80","1,988.70","1,994.80","1,952.00",162.20K,-1.22%,287.467
2022-03-11,"1,985.00","2,000.30","2,004.00","1,960.60",262.09K,-0.77%,287.467
2022-03-10,"2,000.40","1,992.80","2,015.10","1,975.00",303.27K,0.61%,287.467
2022-03-09,"1,988.20","2,060.20","2,068.50","1,981.00",360.35K,-2.70%,287.467
2022-03-08,"2,043.30","2,001.00","2,078.80","1,985.80",447.65K,2.37%,287.467
2022-03-07,"1,995.90","1,978.50","2,007.50","1,964.20",372.19K,1.49%,287.467
2022-03-04,"1,966.60","1,938.50","1,974.90","1,931.50",241.53K,1.59%,287.467
2022-03-03,"1,935.90","1,931.70","1,944.60","1,923.10",180.21K,0.71%,287.467
2022-03-02,"1,922.30","1,945.30","1,951.40","1,916.00",227.98K,-1.11%,287.467
2022-03-01,"1,943.80","1,908.40","1,952.60","1,903.00",224.00K,2.27%,287.467
2022-02-28,"1,900.70","1,921.00","1,935.20","1,892.20",249.27K,0.69%,284.525
2022-02-25,"1,887.60","1,906.50","1,925.00","1,884.40",229.78K,-1.96%,284.525
2022-02-24,"1,925.40","1,911.10","1,975.00","1,880.00",2.71K,0.84%,284.525
2022-02-23,"1,909.40","1,900.30","1,911.50","1,890.40",1.98K,0.16%,284.525
2022-02-22,"1,906.40","1,902.50","1,916.80","1,888.70",2.19K,-0.05%,284.525
2022-02-21,"1,907.40","1,903.50","1,918.30","1,889.70",334.59K,0.45%,284.525
2022-02-18,"1,898.80","1,901.20","1,903.50","1,887.50",0.64K,-0.12%,284.525
2022-02-17,"1,901.00","1,870.60","1,902.30","1,869.90",0.96K,1.63%,284.525
2022-02-16,"1,870.50","1,854.30","1,873.40","1,851.70",0.43K,0.83%,284.525
2022-02-15,"1,855.10","1,872.00","1,880.10","1,844.70",0.88K,-0.71%,284.525
2022-02-14,"1,868.30","1,861.40","1,875.00","1,851.10",0.86K,1.48%,284.525
2022-02-11,"1,841.10","1,827.40","1,866.40","1,821.50",0.95K,0.26%,284.525
2022-02-10,"1,836.40","1,833.10","1,842.20","1,821.00",0.79K,0.04%,284.525
2022-02-09,"1,835.60","1,826.10","1,835.80","1,824.70",0.88K,0.48%,284.525
2022-02-08,"1,826.80","1,820.70","1,828.70","1,815.70",0.93K,0.33%,284.525
2022-02-07,"1,820.80","1,807.80","1,823.30","1,807.80",1.41K,0.77%,284.525
2022-02-04,"1,806.80","1,804.60","1,814.50","1,792.40",1.62K,0.20%,284.525
2022-02-03,"1,803.20","1,806.80","1,807.60","1,787.80",1.18K,-0.35%,284.525
2022-02-02,"1,809.50","1,800.30","1,810.50","1,794.50",1.22K,0.48%,284.525
2022-02-01,"1,800.80","1,798.10","1,808.70","1,796.00",2.54K,0.27%,284.525
2022-01-31,"1,796.00","1,791.80","1,800.00","1,785.70",1.37K,0.57%,282.542
2022-01-28,"1,785.80","1,798.40","1,799.10","1,779.70",1.30K,-0.41%,282.542
2022-01-27,"1,793.10","1,819.00","1,821.40","1,790.60",196.04K,-2.00%,282.542
2022-01-26,"1,829.70","1,848.00","1,850.20","1,814.10",270.03K,-1.23%,282.542
2022-01-25,"1,852.50","1,843.60","1,854.20","1,834.40",197.80K,0.59%,282.542
2022-01-24,"1,841.70","1,835.20","1,844.90","1,829.30",244.33K,0.54%,282.542
2022-01-21,"1,831.80","1,840.60","1,843.70","1,828.40",225.25K,-0.59%,282.542
2022-01-20,"1,842.60","1,840.10","1,848.50","1,836.20",233.86K,-0.03%,282.542
2022-01-19,"1,843.20","1,812.90","1,843.90","1,809.00",318.49K,1.70%,282.542
2022-01-18,"1,812.40","1,818.70","1,822.90","1,804.70",362.94K,0.00%,282.542
2022-01-17,"1,812.40","1,818.70","1,822.90","1,804.70",362.94K,-0.23%,282.542
